Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
Lady Gwendolen,Lady Gwendolen,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006201693420143425,0.0355749959534976,0.0
his friends,his friends,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006201693420143425,0.0355749959534976,0.0
two haggard women,two haggard women,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006376965584883499,0.003349240503374719,0.0
These common rough people,These common rough people,1,1,2,1.0,1.0,2.0,6.0,0.2724252491694352,0.2892276422764227,0.0,0.012319303,0.0,0.006431147176764936,0.003877579322255787,0.0
The man who could call a spade a spade,The man who could call a spade a spade,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.003598905,0.0,0.00649273609370061,0.060284979435615796,0.0
his listeners,his listeners,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07477593,0.0,0.006746256773869225,0.10062909935379143,0.0
my wife,my wife,2,1,3,2.0,1.0,3.0,5.0,0.3508771929824561,0.3799999999999998,0.0,0.13105343,0.04320307,0.006915199997750442,0.2741203392381878,1.0
every one,every one,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.014901509,0.0,0.007015170958604888,0.02478436869985889,0.0
her,her,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.096295655,0.0,0.007080578002773515,0.20459817800020302,0.0
my sister,my sister,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007248405719016727,0.012214521984921064,0.0
Lady Radley 's maid,Lady Radley 's maid,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007860353336871205,0.039555826394361775,0.0
them,them,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2041367,0.0,0.008326270466551973,0.37272371405732346,1.0
people whose lives have been sordid and ugly,people whose lives have been sordid and ugly,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009059821883629816,0.058961463466896576,0.0
a new friend,a new friend,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.017617173,0.0,0.010452994290652808,0.07548538004709064,0.0
her son,her son,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013103762612998355,0.01704168937859498,0.0
